#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 10 56 999 99.0 99.0  3.77 15.38 11.52 295 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 04 11 26 999 99.0 99.0  3.15 14.29 10.75 297 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 11 56 999 99.0 99.0  3.37 16.67 11.35 293 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 12 26 999 99.0 99.0  3.33 14.29 11.25 290 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 12 56 999 99.0 99.0  2.86 15.38 10.41 288 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 13 26 999 99.0 99.0  2.94 16.67 10.75 286 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 13 56 999 99.0 99.0  2.58 15.38  9.52 282 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 14 26 999 99.0 99.0  2.90 14.29 10.50 285 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 14 56 999 99.0 99.0  2.54 16.67  9.75 283 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 15 26 999 99.0 99.0  2.69 16.67 10.25 282 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 15 56 999 99.0 99.0  2.47 14.29  9.67 286 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 16 26 999 99.0 99.0  2.60 16.67 10.22 279 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 16 56 999 99.0 99.0  2.84 16.67 10.64 283 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 17 26 999 99.0 99.0  2.62 16.67 10.17 278 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 04 17 56 999 99.0 99.0  2.20 15.38  9.51 278 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 18 26 999 99.0 99.0  2.37 14.29  9.41 281 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 18 56 999 99.0 99.0  2.66 15.38  9.90 281 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 19 26 999 99.0 99.0  2.57 16.67  9.91 288 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 04 19 56 999 99.0 99.0  2.44 15.38  9.39 293 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 04 20 26 999 99.0 99.0  2.31 15.38  8.87 289 9999.0 999.0  15.0 999.0 99.0 99.00
2023 01 04 20 56 999 99.0 99.0  2.46 14.29  8.91 288 9999.0 999.0  14.9 999.0 99.0 99.00
2023 01 04 21 26 999 99.0 99.0  2.55 15.38  9.28 293 9999.0 999.0  14.8 999.0 99.0 99.00
