Date 		Day	Time	Pred(Ft)	Pred(cm)	High/Low
2023/03/25	Sat	08:33	-0.00		0			L
2023/03/25	Sat	13:24	1.81		55			H
2023/03/25	Sat	19:43	0.35		11			L
2023/03/26	Sun	00:46	2.79		85			H
2023/03/26	Sun	09:36	0.06		2			L
2023/03/26	Sun	14:52	1.52		46			H
2023/03/26	Sun	20:00	0.47		14			L
2023/03/27	Mon	01:26	2.57		78			H
2023/03/27	Mon	11:00	0.11		3			L
2023/03/28	Tue	02:23	2.35		72			H
2023/03/28	Tue	12:44	0.11		3			L
2023/03/29	Wed	04:06	2.20		67			H
2023/03/29	Wed	14:02	0.07		2			L
2023/03/29	Wed	20:24	1.89		58			H
2023/03/30	Thu	01:49	0.60		18			L
2023/03/30	Thu	05:48	2.24		68			H
2023/03/30	Thu	14:53	0.03		1			L
2023/03/30	Thu	20:36	2.00		61			H
2023/03/31	Fri	02:44	0.52		16			L
2023/03/31	Fri	06:52	2.37		72			H
2023/03/31	Fri	15:28	-0.00		0			L
2023/03/31	Fri	20:50	2.10		64			H
2023/04/01	Sat	03:19	0.43		13			L
2023/04/01	Sat	07:38	2.51		77			H
2023/04/01	Sat	15:56	-0.02		-1			L
2023/04/01	Sat	21:04	2.22		68			H
2023/04/02	Sun	03:50	0.34		10			L
2023/04/02	Sun	08:16	2.61		80			H
2023/04/02	Sun	16:20	-0.02		-1			L
2023/04/02	Sun	21:19	2.35		72			H
2023/04/03	Mon	04:20	0.25		8			L
2023/04/03	Mon	08:50	2.66		81			H
2023/04/03	Mon	16:42	-0.01		-0			L
2023/04/03	Mon	21:35	2.50		76			H
2023/04/04	Tue	04:50	0.16		5			L
2023/04/04	Tue	09:24	2.65		81			H
2023/04/04	Tue	17:03	0.02		1			L
2023/04/04	Tue	21:53	2.65		81			H
2023/04/05	Wed	05:22	0.09		3			L
2023/04/05	Wed	09:58	2.57		78			H
2023/04/05	Wed	17:24	0.07		2			L
2023/04/05	Wed	22:13	2.79		85			H
